source_id,target_id,friends_count
37384589,35433394,79
37384589,154102105,77
37384589,67611162,2
37384589,624517612,202
37384589,885487044243238912,2
37384589,91792838,177
37384589,900253503192350722,0
37384589,219617448,0
37384589,137780376,28
37384589,1288175774,199
37384589,1251083774,321
37384589,97217966,398
37384589,60937837,115
37384589,347035710,13
37384589,1447949844,295
37384589,130104041,706
37384589,1346439824,451
37384589,2183816041,161
37384589,135421739,80
37384589,18839785,2344
37384589,612199072,1092
37384589,225083535,24
37384589,55520719,632
37384589,87174678,121
37384589,29383056,1284
37384589,142722336,462
37384589,107318424,161
37384589,716490776,4
37384589,124258971,26
37384589,39922166,655
37384589,19073140,55
37384589,60520641,27
37384589,46859317,182
37384589,79388563,5
37384589,77915905,0
37384589,75522168,6
37384589,71357820,167
37384589,59697754,7
252647855,1170151064,966
252647855,484782496,108989
349392750,11348282,173
349392750,1376851362,1958
349392750,260740080,21
349392750,1080753187,247
349392750,705226320,2838
349392750,560005675,197
349392750,26746031,833
349392750,182994241,2238
349392750,264399952,703
349392750,557870365,39
349392750,2907609595,756
349392750,15223418,3991
349392750,72821391,262
349392750,15463610,6813
349392750,26832834,240
349392750,42243829,13504
349392750,324896218,468
349392750,324978824,526
349392750,111331599,444
349392750,338240032,991
349392750,41569866,592
349392750,24862758,2714
349392750,620459029,4119
349392750,742143,18
349392750,5402612,3
349392750,20402945,843
349392750,813286,591592
349392750,1492538024,642
349392750,36327407,129
349392750,44588485,167
349392750,277434037,33
349392750,769727912,133
349392750,711694309,285
349392750,68399705,457
349392750,405427035,219
349392750,68977380,326
349392750,75854417,813
349392750,471741741,488
349392750,17919972,0
349392750,14230524,119752
349392750,177547780,596
349392750,66319753,36
349392750,185142711,82
349392750,16409683,368323
349392750,31236002,753
349392750,71201743,64
349392750,92726549,120
349392750,56913467,328
349392750,65659343,58
349392750,113278275,211
349392750,38403110,683
349392750,113352671,1202
349392750,149198901,20
349392750,183230911,224
349392750,123774113,173
349392750,99918503,57
349392750,118201804,85
349392750,33801019,242
349392750,44256533,104
349392750,28675838,157
349392750,54829997,122
349392750,95917731,48
349392750,18576060,8036
349392750,870691861,4379
349392750,316689615,92
349392750,571968178,829
349392750,258816427,1313
349392750,535934151,623
349392750,202550894,775
349392750,207714995,393
349392750,977720335,891
349392750,1017827738,702
349392750,1074502146,723
349392750,102647233,595
349392750,47586284,480
349392750,244068527,717
349392750,68889899,172
349392750,459692316,387
349392750,447540138,824
349392750,176939317,186
349392750,1128522992,1332
349392750,1209099625,985
349392750,345261411,468
349392750,102715217,446
349392750,1358258268,0
349392750,355748079,728
349392750,29363591,12239
349392750,1127815244,204
349392750,233892844,60
349392750,90250105,924
349392750,595455625,19
349392750,49103668,124
349392750,1359182538,6
349392750,887154380,105
349392750,819914683,944
349392750,35657315,3470
349392750,455289274,858
349392750,24588784,85
349392750,69421956,167179
349392750,449129608,117
349392750,41522828,315
349392750,38582891,551
349392750,70803736,673
349392750,457903582,229
349392750,178042229,821
349392750,584290563,10064
349392750,220400540,3321
349392750,1161337027,67
349392750,228837350,689
349392750,37169666,1207
349392750,292120360,217
349392750,122263298,5240
349392750,189100486,1
349392750,800932214,64
349392750,16401912,1564
349392750,1186879477,1531
349392750,365470101,6
349392750,981246828,6073
349392750,625818347,183
349392750,18008330,8364
349392750,1119456386,9
349392750,259572637,11434
349392750,39391275,12531
349392750,25037062,366
349392750,46165067,757
349392750,1331235961,8
349392750,887499614,68
349392750,1018888051,3283
349392750,1129951904,415
349392750,188746616,1282
349392750,147661132,428
349392750,40676920,250
349392750,22613183,310
349392750,20062705,14277
349392750,17429259,417
349392750,326322095,551
349392750,484655366,64
349392750,57750984,178
349392750,145769665,1897
349392750,396166688,37
349392750,321235029,1511
349392750,143033387,762
349392750,25777084,423
349392750,62861450,1267
349392750,1157854178,393
349392750,18460408,2898
349392750,56228551,3124
349392750,543589363,645
349392750,386104803,5845
349392750,899451769,0
349392750,103411670,2120
349392750,1026197041,129
349392750,100801656,4090
349392750,992148607,164
349392750,332742591,28
349392750,1013959855,114
349392750,582779224,2275
349392750,633137600,34258
349392750,1065476858,2076
349392750,245009225,15385
349392750,18530520,168
349392750,407828857,1184
349392750,494368522,473
349392750,1043268697,16
349392750,574003759,0
349392750,467132788,95
349392750,1043411214,0
349392750,627578936,0
349392750,376014501,283
349392750,544572283,182
349392750,471998051,373
349392750,324955521,10819
349392750,217081909,230
349392750,21790071,0
349392750,56747801,285
349392750,99236493,183
349392750,488990293,6450
349392750,178767198,1533
349392750,123481845,650
349392750,839657178,1048
349392750,1027774482,0
349392750,1027719319,3
349392750,724608817,491
349392750,21317728,3182
349392750,584823754,1210
349392750,559859976,0
349392750,1006984339,0
349392750,992166770,5
349392750,344156895,1528
349392750,163640489,276
349392750,15596316,34200
349392750,26047465,2116
349392750,21589065,3
349392750,823225850,10
349392750,553312369,1605
349392750,796813496,136
349392750,41636473,73
349392750,28822135,1649
349392750,243177947,691
349392750,339873203,463
349392750,538296603,2885
349392750,501534484,319
349392750,39425168,3292
349392750,300077407,0
349392750,88988650,1756
349392750,104459389,56461
349392750,385575870,2004
349392750,15666153,1646
349392750,41069932,123
349392750,634994302,2
349392750,18009204,2660
349392750,31512368,746
349392750,116496566,0
349392750,115945467,70
349392750,988188122,389
349392750,39784002,7964
349392750,37964089,8583
349392750,89580104,2381
349392750,30775658,3458
349392750,44292863,758
349392750,274127782,1189
349392750,905105610,310
349392750,1000082732,13
349392750,169984399,470
