source_id,target_id
22903,22598920
22903,157042531
24503,16002194
286543,382393
382393,286543
382393,11990112
382393,12179872
382393,105768989
382393,254497239
438023,6082972
438023,56336047
586003,382393
586003,769985
586003,5863152
586003,11990112
586003,12179872
586003,14867242
586003,15455450
586003,15530118
586003,16303802
586003,19706832
586003,20681942
586003,21133252
586003,22598920
586003,23770754
586003,24176877
586003,31135311
586003,52140322
586003,60490488
586003,61728897
586003,69575984
586003,82062642
586003,82118682
586003,84361482
586003,85850428
586003,86626503
586003,91696007
586003,96737211
586003,107991930
586003,108051742
586003,110177863
586003,111054613
586003,113134931
586003,118197667
586003,125622122
586003,132569641
586003,154197349
586003,157042531
586003,202220813
586003,206326866
586003,207138462
586003,207490418
586003,257111136
586003,264133279
586003,276983152
586003,281234838
586003,365993895
586003,392094997
586003,400741034
586003,400826236
586003,406150965
586003,410193975
586003,425767265
586003,443896569
586003,446366385
586003,449195625
586003,483838785
586003,525408377
586003,561814955
586003,583885189
586003,769388442
586003,899934248
586003,919599445
586003,947759960
586003,964327405
769985,586003
769985,3909541
769985,5863152
769985,12179872
769985,12551742
769985,22598920
769985,24176877
769985,149248959
769985,356979186
769985,525408377
769985,947759960
769985,964327405
2007021,286543
2007021,5863152
2007021,7773732
2007021,12179872
2007021,12551742
2007021,20681942
2007021,22521283
2007021,22598920
2007021,167823878
3909541,769985
3909541,7773732
3909541,12179872
3909541,12551742
3909541,131197741
5863152,586003
5863152,769985
5863152,2007021
5863152,6082972
5863152,7773732
5863152,12179872
5863152,12551742
5863152,14443340
5863152,22521283
5863152,22598920
5863152,93378883
5863152,112419862
5863152,429414906
5863152,947759960
5863152,964327405
6082972,5863152
6082972,22624920
6082972,22970058
6082972,47588692
6082972,93378883
6082972,469218793
6196392,6196392
6196392,112419862
6618042,157042531
6677972,22598920
7246122,286543
7246122,12551742
7773732,12179872
7773732,12551742
7773732,22598920
7773732,36286962
7773732,156039467
7773732,202220813
7773732,356979186
7773732,899934248
8029522,7773732
8029522,22598920
11990112,382393
11990112,14867242
11990112,19706832
11990112,22994885
12179872,382393
12179872,586003
12179872,769985
12179872,2007021
12179872,3909541
12179872,5863152
12179872,7773732
12179872,11990112
12179872,12551742
12179872,17421795
12179872,20681942
12179872,22521283
12179872,22598920
12179872,22970058
12179872,52140322
12179872,82118682
12179872,112419862
12179872,125622122
12179872,126611558
12179872,152905850
12179872,202220813
12179872,204808236
12179872,222893837
12179872,226576785
12179872,276983152
12179872,410193975
12179872,440128266
12551742,7246122
12551742,12179872
12551742,356979186
12700622,22598920
12700622,91696007
12700622,107471115
14321616,22598920
14443340,5863152
14443340,22521283
14443340,22598920
14443340,57573169
14474989,7773732
14867242,11990112
15455450,586003
15455450,17992531
15455450,21133252
15455450,23770754
15455450,82062642
15455450,105768989
15455450,118197667
15455450,446366385
15455450,525408377
15455450,947759960
15530118,107991930
15530118,425767265
15530118,435045600
15622858,614249086
15922136,22598920
16002194,24503
16002194,12551742
16002194,149248959
16002194,356979186
16183526,22598920
16183526,157042531
16303802,586003
16303802,107991930
16303802,108051742
16303802,449195625
16303802,964327405
17283453,149248959
